symbol,total_return,mdd,win_rate,sharpe,trades,case,fill_mode
459550,0.0,0.0,,,0,A_next_open_cost_OFF,next_open
098460,-2.984893,-2.892638241553706,0.0,-1.5693225899367629,2,A_next_open_cost_OFF,next_open
486990,0.0,0.0,,,0,A_next_open_cost_OFF,next_open
424870,-3.05536,-2.9146843140761938,1.0,-1.5648946736331155,2,A_next_open_cost_OFF,next_open
040300,-2.9607875,-2.9607875,0.0,-1.6026722950436338,2,A_next_open_cost_OFF,next_open
413630,-2.991968,-2.8049728162377674,0.0,-1.5844962272326135,2,A_next_open_cost_OFF,next_open
125490,-3.058141,-2.773848133493181,1.0,-1.798572916578987,2,A_next_open_cost_OFF,next_open
090710,-2.9710395,-2.904847938968774,0.0,-1.6028039009868131,2,A_next_open_cost_OFF,next_open
469610,0.0,0.0,,,0,A_next_open_cost_OFF,next_open
234030,-3.173016,-2.7645392743111605,1.0,-1.4620248845869301,2,A_next_open_cost_OFF,next_open
456160,-3.19928,-2.605946869569027,1.0,-1.6605385554011438,2,A_next_open_cost_OFF,next_open
476060,-2.94894,-2.8089289029144235,0.0,-1.5504612941274354,2,A_next_open_cost_OFF,next_open
030530,-2.989026,-2.9765814432334023,0.0,-1.5913219960034002,2,A_next_open_cost_OFF,next_open
376900,-2.94336,-2.94336,0.0,-1.6036241047529471,2,A_next_open_cost_OFF,next_open
347850,-2.9155,-2.8825552825552823,0.0,-1.6180987444516417,2,A_next_open_cost_OFF,next_open
086520,-3.04263,-2.8170439887915313,1.0,-1.547785644593298,2,A_next_open_cost_OFF,next_open
058610,-2.9876,-2.9572238853001416,0.0,-1.6035999075593723,2,A_next_open_cost_OFF,next_open
298380,-3.03795,-2.754962325080732,1.0,-1.5644898872431128,2,A_next_open_cost_OFF,next_open
101170,-2.988531,-2.9272950542415823,0.0,-1.5929914189739394,2,A_next_open_cost_OFF,next_open
382150,-3.076472,-2.847644877243186,1.0,-1.5345937496763975,2,A_next_open_cost_OFF,next_open
437730,-3.6407,-2.5054057674821637,1.0,-1.2495549966427262,2,A_next_open_cost_OFF,next_open
412350,-2.799782,-2.799782,0.0,-3.593394002615336,2,A_next_open_cost_OFF,next_open
319400,-2.92917,-2.92917,0.0,-1.6121311407858054,2,A_next_open_cost_OFF,next_open
388210,0.0,0.0,,,0,A_next_open_cost_OFF,next_open
466100,-3.408012,-2.6318159147339775,1.0,-1.3447213811385206,2,A_next_open_cost_OFF,next_open
356890,-2.95382,-2.8872218288806315,0.0,-1.6197279393409247,2,A_next_open_cost_OFF,next_open
263800,-0.09444,-0.09443999999999997,,-3.6278059922387462,1,A_next_open_cost_OFF,next_open
950160,-2.946505,-2.946505,0.0,-1.6072008003174827,2,A_next_open_cost_OFF,next_open
448900,-2.9625,-2.9625,0.0,-1.616092123094224,2,A_next_open_cost_OFF,next_open
000660,0.0,0.0,,,0,A_next_open_cost_OFF,next_open
459550,0.0,0.0,,,0,B_next_open_cost_ON,next_open
098460,-2.9726758726987503,-2.885678211067847,0.0,-1.570645813135334,2,B_next_open_cost_ON,next_open
486990,0.0,0.0,,,0,B_next_open_cost_ON,next_open
424870,-3.0431566076237107,-2.908060961901742,1.0,-1.5661833469281152,2,B_next_open_cost_ON,next_open
040300,-2.9504206603350354,-2.950420660335035,0.0,-1.6040184990931317,2,B_next_open_cost_ON,next_open
413630,-2.9814629182243317,-2.799874235085918,0.0,-1.5858104035791938,2,B_next_open_cost_ON,next_open
125490,-3.047404300343,-2.768914078928547,1.0,-1.8000319686100283,2,B_next_open_cost_ON,next_open
090710,-2.9599995347052053,-2.8988675198948273,0.0,-1.604143732743976,2,B_next_open_cost_ON,next_open
469610,0.0,0.0,,,0,B_next_open_cost_ON,next_open
234030,-3.16101655354914,-2.7591352545194754,1.0,-1.4631922511818929,2,B_next_open_cost_ON,next_open
456160,-3.194966445924,-2.6056760989700534,1.0,-1.6617552773226907,2,B_next_open_cost_ON,next_open
476060,-2.9380495131732003,-2.8032750571937948,0.0,-1.5517878342288312,2,B_next_open_cost_ON,next_open
030530,-2.9780094184391004,-2.9704898950388325,0.0,-1.5926496221994157,2,B_next_open_cost_ON,next_open
376900,-2.93543710372376,-2.9354371037237597,0.0,-1.60497672485624,2,B_next_open_cost_ON,next_open
347850,-2.9123456026350003,-2.8840199121184007,0.0,-1.6194631876058532,2,B_next_open_cost_ON,next_open
086520,-3.0389511202927,-2.8177482205332467,1.0,-1.5490532633619822,2,B_next_open_cost_ON,next_open
058610,-2.976481904157,-2.9510844074976665,0.0,-1.604933310376788,2,B_next_open_cost_ON,next_open
298380,-3.0342961790642997,-2.755536757647561,1.0,-1.565759609454235,2,B_next_open_cost_ON,next_open
101170,-2.97712141040632,-2.920983825319605,0.0,-1.594321140406074,2,B_next_open_cost_ON,next_open
382150,-3.06428566037043,-2.841393454641816,1.0,-1.5358588244463562,2,B_next_open_cost_ON,next_open
437730,-3.6249003795342007,-2.500241560552885,1.0,-1.2503653655641618,2,B_next_open_cost_ON,next_open
412350,-2.7901264544240005,-2.7901264544240005,0.0,-3.596549871502602,2,B_next_open_cost_ON,next_open
319400,-2.9184583780004,-2.9184583780004,0.0,-1.613494170036204,2,B_next_open_cost_ON,next_open
388210,0.0,0.0,,,0,B_next_open_cost_ON,next_open
466100,-3.3967021611182497,-2.627826318483714,1.0,-1.3456907848808428,2,B_next_open_cost_ON,next_open
356890,-2.9426322457520997,-2.8810649782467275,0.0,-1.6210792334298147,2,B_next_open_cost_ON,next_open
263800,-0.09666393201650009,-0.09666393201650003,,-3.725755621461424,1,B_next_open_cost_ON,next_open
950160,-2.94322473779945,-2.94322473779945,0.0,-1.6085506858982341,2,B_next_open_cost_ON,next_open
448900,-2.9512806762621597,-2.9512806762621597,0.0,-1.6174404537827831,2,B_next_open_cost_ON,next_open
000660,0.0,0.0,,,0,B_next_open_cost_ON,next_open
459550,0.0,0.0,,,0,C_close_cost_ON,close
098460,-2.9726758726987503,-2.885678211067847,0.0,-1.570645813135334,2,C_close_cost_ON,close
486990,0.0,0.0,,,0,C_close_cost_ON,close
424870,-3.0431566076237107,-2.908060961901742,1.0,-1.5661833469281152,2,C_close_cost_ON,close
040300,-2.9504206603350354,-2.950420660335035,0.0,-1.6040184990931317,2,C_close_cost_ON,close
413630,-2.9814629182243317,-2.799874235085918,0.0,-1.5858104035791938,2,C_close_cost_ON,close
125490,-3.047404300343,-2.768914078928547,1.0,-1.8000319686100283,2,C_close_cost_ON,close
090710,-2.9599995347052053,-2.8988675198948273,0.0,-1.604143732743976,2,C_close_cost_ON,close
469610,0.0,0.0,,,0,C_close_cost_ON,close
234030,-3.16101655354914,-2.7591352545194754,1.0,-1.4631922511818929,2,C_close_cost_ON,close
456160,-3.194966445924,-2.6056760989700534,1.0,-1.6617552773226907,2,C_close_cost_ON,close
476060,-2.9380495131732003,-2.8032750571937948,0.0,-1.5517878342288312,2,C_close_cost_ON,close
030530,-2.9780094184391004,-2.9704898950388325,0.0,-1.5926496221994157,2,C_close_cost_ON,close
376900,-2.93543710372376,-2.9354371037237597,0.0,-1.60497672485624,2,C_close_cost_ON,close
347850,-2.9123456026350003,-2.8840199121184007,0.0,-1.6194631876058532,2,C_close_cost_ON,close
086520,-3.0389511202927,-2.8177482205332467,1.0,-1.5490532633619822,2,C_close_cost_ON,close
058610,-2.976481904157,-2.9510844074976665,0.0,-1.604933310376788,2,C_close_cost_ON,close
298380,-3.0342961790642997,-2.755536757647561,1.0,-1.565759609454235,2,C_close_cost_ON,close
101170,-2.97712141040632,-2.920983825319605,0.0,-1.594321140406074,2,C_close_cost_ON,close
382150,-3.06428566037043,-2.841393454641816,1.0,-1.5358588244463562,2,C_close_cost_ON,close
437730,-3.6249003795342007,-2.500241560552885,1.0,-1.2503653655641618,2,C_close_cost_ON,close
412350,-2.7901264544240005,-2.7901264544240005,0.0,-3.596549871502602,2,C_close_cost_ON,close
319400,-2.9184583780004,-2.9184583780004,0.0,-1.613494170036204,2,C_close_cost_ON,close
388210,0.0,0.0,,,0,C_close_cost_ON,close
466100,-3.3967021611182497,-2.627826318483714,1.0,-1.3456907848808428,2,C_close_cost_ON,close
356890,-2.9426322457520997,-2.8810649782467275,0.0,-1.6210792334298147,2,C_close_cost_ON,close
263800,-0.09666393201650009,-0.09666393201650003,,-3.725755621461424,1,C_close_cost_ON,close
950160,-2.94322473779945,-2.94322473779945,0.0,-1.6085506858982341,2,C_close_cost_ON,close
448900,-2.9512806762621597,-2.9512806762621597,0.0,-1.6174404537827831,2,C_close_cost_ON,close
000660,0.0,0.0,,,0,C_close_cost_ON,close
